network,count,num_samples,baseline_sim_time_ms,optimized_sim_time_ms,speedup,improvement_percent
DDF_V36_D5,256,1,2.74909,1.72995,1.5891152923494896,58.91152923494896
DDF_V36_D5,256,2,2.74909,1.68085,1.635535592111134,63.55355921111341
DDF_V36_D5,256,4,2.74909,1.66012,1.655958605402019,65.5958605402019
DDF_V36_D5,256,8,2.74909,1.68568,1.6308492715106069,63.08492715106069
DDF_V36_D5,256,16,2.74909,1.72727,1.5915809340751588,59.15809340751588
DDF_V36_D5,256,32,2.74909,1.7796,1.5447797257810743,54.477972578107426
DDF_V36_D5,256,64,2.74909,1.86597,1.4732766336007546,47.327663360075455
DDF_V36_D5,256,128,2.74909,1.80688,1.5214568759408482,52.14568759408482
DDF_V36_D5,256,256,2.74909,1.80756,1.5208845072915973,52.08845072915973
DDF_V36_D5,256,512,2.74909,1.832,1.5005949781659387,50.05949781659387
DDF_V36_D5,256,1024,2.74909,2.15875,1.273463810075275,27.34638100752751
