network,bytes,num_samples,baseline_sim_time_ms,optimized_sim_time_ms,speedup,improvement_percent
DDF_V36_D5,64,1,8.52441,7.99243,1.0665604828569033,6.240666509471036
DDF_V36_D5,64,2,8.52441,6.96051,1.2246818121085954,18.34613773856489
DDF_V36_D5,64,4,8.52441,6.71929,1.268647431499459,21.175893698214885
DDF_V36_D5,64,8,8.52441,6.62849,1.2860259274736778,22.24107005646138
DDF_V36_D5,64,16,8.52441,6.43553,1.3245855430710447,24.504687127906795
DDF_V36_D5,64,32,8.52441,6.40641,1.3306063770504852,24.846294347643997
DDF_V36_D5,64,64,8.52441,6.38678,1.3346960440159203,25.076574214520413
DDF_V36_D5,64,128,8.52441,6.48831,1.3138105300147496,23.885524042133117
DDF_V36_D5,64,256,8.52441,6.72014,1.2684869660453502,21.165922333627783
DDF_V36_D5,64,512,8.52441,6.69602,1.2730562334043207,21.448874467558458
DDF_V36_D5,64,1024,8.52441,6.66626,1.2787395031096895,21.797989538278888
