network,nx,num_samples,baseline_sim_time_ms,optimized_sim_time_ms,speedup,improvement_percent
DDF_V36_D5,256,1,12.3621,8.37776,1.4755853593323274,32.230284498588425
DDF_V36_D5,256,2,12.3621,7.38186,1.6746592322260243,40.28635911374281
DDF_V36_D5,256,4,12.3621,6.92266,1.785744208151202,44.00093835189814
DDF_V36_D5,256,8,12.3621,6.79904,1.8182125711865205,45.00093026265764
DDF_V36_D5,256,16,12.3621,6.79518,1.8192454063027028,45.0321547309923
DDF_V36_D5,256,32,12.3621,6.40954,1.9287031518642523,48.15168943787868
DDF_V36_D5,256,64,12.3621,6.87676,1.797663434524398,44.37223449090365
DDF_V36_D5,256,128,12.3621,7.36517,1.6784541293683648,40.421368537708
DDF_V36_D5,256,256,12.3621,7.70156,1.605142334799703,37.70022892550619
DDF_V36_D5,256,512,12.3621,6.09186,2.029281697215629,50.721479360302865
DDF_V36_D5,256,1024,12.3621,5.96872,2.0711475827313057,51.71758843562178
