nx,samples,sampling_interval_us,ave_message_lat_us,traffic_scaling_factor,predicted_obj_func_ECMP_ASP,predicted_obj_func_MD_IT,benchtime[us],speedup
256,1,7826.198,12.99307301423815,15.498853117306533,6.828717415799446,,5013.24,1.089530922118231
256,2,3913.099,12.99307301423815,15.422672295744073,6.796836921299651,,5041.8099999999995,1.0833569690250129
256,4,1956.5495,12.99307301423815,13.64927061366216,5.871055003026992,,5172.96,1.05589063128267
256,8,978.27475,12.99307301423815,12.684889263633735,3.9927599612934666,,4295.68,1.2715286054827175
256,16,489.137375,12.99307301423815,11.511183306653129,3.1576385173156347,,3901.44,1.400016404199475
256,32,244.5686875,12.99307301423815,10.597853466703496,2.964192459796576,,3903.87,1.3991449510357672
256,64,122.28434375,12.99307301423815,9.16527459469564,2.4783166735320292,,3932.34,1.3890151919722098
256,128,61.142171875,12.99307301423815,7.866429845344423,0.1972484285653636,,3944.87,1.3846032949121263
512,1,64343.278,59.23469389203571,16.046191537277608,6.825706756486191,11.655950546264648,36526.4,0.9801075386569712
512,2,32171.639,59.23469389203571,16.019441228640527,6.814327747164121,11.546300888061523,36536.5,0.9798366017544099
512,4,16085.8195,59.23469389203571,14.038698977420083,5.895564032231982,10.4614896774292,34857.4,1.0270358661288563
512,8,8042.90975,59.23469389203571,13.221844128961312,4.394305136855835,7.879974365234375,33618.1,1.064896588444915
512,16,4021.454875,59.23469389203571,12.000163951115535,3.72984903857386,5.976613998413086,31096.800000000003,1.151237426358982
512,32,2010.7274375,59.23469389203571,11.078208528641335,3.362425171215166,4.878777027130127,31259.3,1.145252772774822
512,64,1005.36371875,59.23469389203571,10.328667009477671,2.8608648874511577,3.7845754623413086,29134.2,1.2287895325768339
512,128,502.681859375,59.23469389203571,9.275199040049602,1.3185952509319738,3.3633224964141846,30013.0,1.1928097824276145
1024,1,596846.142,121.25087694486557,18.67501285805183,6.834546059369854,11.616883277893066,301142.0,1.0402102662531298
1024,2,298423.071,121.25087694486557,18.670900663712807,6.8330411082492235,11.628275871276855,315921.0,0.9915485200414027
1024,4,149211.5355,121.25087694486557,16.49308720926982,5.915843316636298,10.385026931762695,307768.0,1.0178153674196149
1024,8,74605.76775,121.25087694486557,14.66642227958917,3.722295340033773,5.837854862213135,286593.0,1.0930169264427254
1024,16,37302.883875,121.25087694486557,13.037360199852705,2.907426957239835,3.9278762340545654,295162.0,1.061284989260135
1024,32,18651.4419375,121.25087694486557,12.132585547012361,2.573512615613536,3.213655471801758,268541.0,1.1664922674749851
1024,64,9325.72096875,121.25087694486557,11.49397046938762,2.2824922212096697,2.6624183654785156,261975.00000000003,1.1957286000572573
1024,128,4662.860484375,121.25087694486557,10.963253888461958,1.0644774731106925,2.3971033096313477,273059.0,1.1471916325775748
