network,count,num_samples,baseline_sim_time_ms,optimized_sim_time_ms,speedup,improvement_percent
RRG_V36_D5,256,1,2.24039,1.46408,1.5302374187202885,53.02374187202885
RRG_V36_D5,256,2,2.24039,1.44168,1.554013373286721,55.4013373286721
RRG_V36_D5,256,4,2.24039,1.46184,1.5325822251409182,53.25822251409183
RRG_V36_D5,256,8,2.24039,1.43328,1.5631209533377985,56.31209533377985
RRG_V36_D5,256,16,2.24039,1.52969,1.4646039393602626,46.46039393602626
RRG_V36_D5,256,32,2.24039,1.5387,1.4560278156885684,45.60278156885684
RRG_V36_D5,256,64,2.24039,1.53915,1.4556021180521717,45.560211805217165
RRG_V36_D5,256,128,2.24039,1.55218,1.4433828550812406,44.338285508124066
RRG_V36_D5,256,256,2.24039,1.63646,1.3690466005890765,36.904660058907645
RRG_V36_D5,256,512,2.24039,1.58689,1.411811782795279,41.1811782795279
RRG_V36_D5,256,1024,2.24039,1.56128,1.434970024595204,43.497002459520395
