network,bytes,num_samples,baseline_sim_time_ms,optimized_sim_time_ms,speedup,improvement_percent
RRG_V36_D5,64,1,6.53546,5.17523,1.2628346952695821,26.283469526958214
RRG_V36_D5,64,2,6.53546,5.17182,1.2636673356768022,26.36673356768022
RRG_V36_D5,64,4,6.53546,4.78142,1.3668449958380564,36.68449958380564
RRG_V36_D5,64,8,6.53546,4.58167,1.426436212123527,42.6436212123527
RRG_V36_D5,64,16,6.53546,4.22982,1.5450917533133797,54.509175331337964
RRG_V36_D5,64,32,6.53546,4.05406,1.6120777689526056,61.20777689526056
RRG_V36_D5,64,64,6.53546,4.12226,1.5854070340056183,58.54070340056183
RRG_V36_D5,64,128,6.53546,4.32832,1.5099299497264527,50.99299497264526
RRG_V36_D5,64,256,6.53546,4.44468,1.4704005687698551,47.04005687698552
RRG_V36_D5,64,512,6.53546,4.54014,1.4394842449792296,43.94842449792296
RRG_V36_D5,64,1024,6.53546,4.63393,1.4103493147285349,41.034931472853486
