network,nx,num_samples,baseline_sim_time_ms,optimized_sim_time_ms,speedup,improvement_percent
RRG_V36_D5,256,1,6.94032,4.08383,1.6994634938280977,69.94634938280977
RRG_V36_D5,256,2,6.94032,4.17117,1.6638784801386661,66.38784801386662
RRG_V36_D5,256,4,6.94032,4.37933,1.5847903674763033,58.47903674763033
RRG_V36_D5,256,8,6.94032,3.67731,1.8873361234163015,88.73361234163015
RRG_V36_D5,256,16,6.94032,3.5898,1.9333444760153768,93.33444760153769
RRG_V36_D5,256,32,6.94032,3.46932,2.000484244751133,100.04842447511328
RRG_V36_D5,256,64,6.94032,3.75354,1.84900653782829,84.90065378282901
RRG_V36_D5,256,128,6.94032,3.87056,1.7931048737133646,79.31048737133646
RRG_V36_D5,256,256,6.94032,3.93258,1.7648261446683855,76.48261446683856
RRG_V36_D5,256,512,6.94032,5.11972,1.355605384669474,35.5605384669474
RRG_V36_D5,256,1024,6.94032,5.17222,1.3418454744771102,34.184547447711026
