network,count,num_samples,baseline_sim_time_ms,optimized_sim_time_ms,speedup,improvement_percent
Slimfly_V32_D6,256,1,1.58369,1.33151,1.1893939962899265,18.939399628992646
Slimfly_V32_D6,256,2,1.58369,1.34178,1.1802903605658157,18.02903605658157
Slimfly_V32_D6,256,4,1.58369,1.30235,1.2160248781049643,21.602487810496427
Slimfly_V32_D6,256,8,1.58369,1.30467,1.2138625092935378,21.38625092935378
Slimfly_V32_D6,256,16,1.58369,1.31558,1.2037960443302573,20.379604433025733
Slimfly_V32_D6,256,32,1.58369,1.35182,1.1715243153674306,17.152431536743062
Slimfly_V32_D6,256,64,1.58369,1.31973,1.2000106082304713,20.001060823047133
Slimfly_V32_D6,256,128,1.58369,1.32356,1.1965381244522348,19.653812445223483
Slimfly_V32_D6,256,256,1.58369,1.32638,1.1939941796468585,19.39941796468585
Slimfly_V32_D6,256,512,1.58369,1.32824,1.1923221706920435,19.23221706920435
Slimfly_V32_D6,256,1024,1.58369,1.42427,1.1119310243142102,11.193102431421021
