network,bytes,num_samples,baseline_sim_time_ms,optimized_sim_time_ms,speedup,improvement_percent
Slimfly_V32_D6,64,1,4.13315,3.5764,1.1556733027625543,15.567330276255431
Slimfly_V32_D6,64,2,4.13315,3.75908,1.0995110505762047,9.951105057620468
Slimfly_V32_D6,64,4,4.13315,3.66532,1.1276368775441161,12.763687754411613
Slimfly_V32_D6,64,8,4.13315,3.39948,1.215818301622601,21.581830162260097
Slimfly_V32_D6,64,16,4.13315,3.15757,1.3089654386126037,30.896543861260373
Slimfly_V32_D6,64,32,4.13315,3.04825,1.3559091281883047,35.59091281883047
Slimfly_V32_D6,64,64,4.13315,3.04893,1.3556067210463998,35.56067210463998
Slimfly_V32_D6,64,128,4.13315,3.19985,1.291669922027595,29.166992202759488
Slimfly_V32_D6,64,256,4.13315,3.24668,1.2730389197580296,27.303891975802962
Slimfly_V32_D6,64,512,4.13315,3.2382,1.2763726761781236,27.637267617812356
Slimfly_V32_D6,64,1024,4.13315,3.32052,1.2447297411248839,24.472974112488387
