network,nx,num_samples,baseline_sim_time_ms,optimized_sim_time_ms,speedup,improvement_percent
Slimfly_V32_D6,256,1,4.78246,3.95812,1.2082655402059563,20.826554020595633
Slimfly_V32_D6,256,2,4.78246,3.90968,1.2232356612305868,22.32356612305868
Slimfly_V32_D6,256,4,4.78246,3.79924,1.258793864035965,25.879386403596506
Slimfly_V32_D6,256,8,4.78246,3.69504,1.2942918073958605,29.429180739586048
Slimfly_V32_D6,256,16,4.78246,3.26578,1.4644158516495296,46.44158516495296
Slimfly_V32_D6,256,32,4.78246,3.17801,1.5048599595344256,50.48599595344256
Slimfly_V32_D6,256,64,4.78246,3.0932,1.5461205224363122,54.61205224363121
Slimfly_V32_D6,256,128,4.78246,3.31533,1.4425290996673032,44.25290996673033
Slimfly_V32_D6,256,256,4.78246,3.33174,1.4354241327354478,43.54241327354478
Slimfly_V32_D6,256,512,4.78246,3.61016,1.3247224499745165,32.47224499745165
Slimfly_V32_D6,256,1024,4.78246,3.60336,1.3272223702322279,32.72223702322279
