V,D,EPR,num_endpoints,total_cores,shortest_path_sim_time_ms,shortest_path_runtime,shortest_path_success,ugal_sim_time_ms,ugal_runtime,ugal_success,nexullance_sim_time_ms,nexullance_runtime,nexullance_success,ugal_speedup,nexullance_speedup
13,4,2,26,104,0.643028,18.774370908737183,True,0.682389,4.409163475036621,True,0.738436,15.632847309112549,True,0.9423188240138689,0.8707971984031115
31,6,3,93,372,1.72944,8.038043975830078,True,1.29949,8.265892028808594,True,1.38629,93.75414085388184,True,1.3308605683768249,1.247531180344661
57,8,4,228,912,3.64024,19.23556637763977,True,1.90618,19.797608137130737,True,2.02971,573.7932372093201,True,1.9097042252043352,1.793477886003419
91,10,5,455,1820,4.89771,51.58992862701416,True,2.50355,51.89419913291931,True,2.6293,1905.1434066295624,True,1.95630604541551,1.8627429353820406
133,12,6,798,3192,8.27515,137.07277083396912,True,3.2468,133.5450623035431,True,3.32697,6826.6832456588745,True,2.5487094985832206,2.487293242800506
183,14,7,1281,5124,13.0993,340.240505695343,True,4.04496,312.43716192245483,True,3.75108,19986.57687854767,True,3.238425101855148,3.4921409300788038
307,18,9,2763,11052,23.2133,1469.158252954483,True,5.87424,1366.965747833252,True,5.19023,99781.44744801521,True,3.95171120008716,4.4724992919388935
381,20,10,3810,15240,30.3526,2754.732887029648,True,6.52494,2596.255291223526,True,,27883.264746904373,False,4.651782238610623,
553,24,12,6636,26544,45.6866,8906.997190713882,True,8.47582,8490.696593999863,True,,66827.3601076603,False,5.390227730178318,
651,26,13,8463,33852,50.4321,15133.055883407593,True,8.95163,15075.627621650696,True,,97550.78707170486,False,5.633845456078949,
757,28,14,10598,42392,,17892.592069864273,False,,24466.098116874695,False,,18550.247188091278,False,,
