V,D,EPR,num_endpoints,total_cores,shortest_path_sim_time_ms,shortest_path_runtime,shortest_path_success,ugal_sim_time_ms,ugal_runtime,ugal_success,nexullance_sim_time_ms,nexullance_runtime,nexullance_success,ugal_speedup,nexullance_speedup
18,5,3,54,216,1.36405,23.679293394088745,True,1.19604,8.312503576278687,True,1.17668,50.68991994857788,True,1.1404718905722218,1.1592361559642383
32,6,3,96,384,1.60416,10.448871612548828,True,1.31478,10.23357343673706,True,1.38576,88.11343765258789,True,1.2200976589239263,1.157603048146865
50,7,4,200,800,3.2492,19.50139093399048,True,1.9316,19.194810390472412,True,2.03573,418.9092824459076,True,1.682128805135639,1.5960859249507549
98,11,6,588,2352,7.29801,86.74087715148926,True,3.41241,82.88797998428345,True,3.22085,4103.387128829956,True,2.1386673934257607,2.265864600959374
128,12,6,768,3072,8.846,128.94051575660706,True,3.49321,121.65411472320557,True,3.21932,6464.050009727478,True,2.532341313576911,2.7477852465738106
162,13,7,1134,4536,10.7097,244.71955943107605,True,3.89988,230.56932044029236,True,3.77788,13511.12480354309,True,2.7461614203513953,2.8348438806949927
242,17,9,2178,8712,19.4048,815.2073445320129,True,5.47764,728.7489144802094,True,5.18661,60912.856738090515,True,3.542547520465018,3.7413262227158013
338,19,10,3380,13520,23.283,1773.878408908844,True,5.93073,1661.1783158779144,True,5.83543,124399.6526055336,True,3.9258236338528314,3.9899373310964235
512,24,12,6144,24576,37.896,5976.595081567764,True,7.80153,5668.717344999313,True,,47484.155646562576,False,4.857508719443494,
578,25,13,7514,30056,38.5433,8863.331258535385,True,8.36084,8470.444264173508,True,,65991.36024808884,False,4.609979380062291,
722,29,15,10830,43320,,23464.56544160843,False,,20127.12088727951,False,,19646.40161728859,False,,
