V,D,num_samples,ave_time[s],std_time[s]
36,5,1,0.054570381333333334,0.00015533183993094793
36,5,2,0.023867681666666668,0.00018950447792158727
36,5,4,0.024662131,0.00016469827408931777
36,5,16,0.04139022866666667,0.00037367996114099164
36,5,32,0.069152034,0.0015589274267627062
36,5,64,0.11204048200000001,0.0007876764025080399
49,6,1,0.048113095,0.0007880582835990006
49,6,2,0.041921024,0.000517916457691781
49,6,4,0.04832564966666667,0.0001933701875945044
49,6,16,0.09317213866666667,0.0012164798304112265
49,6,32,0.16128730766666668,0.0009216105491379379
49,6,64,0.13001742466666666,0.0030105574403313283
64,7,1,0.14266882033333333,0.001125116495981787
64,7,2,0.08877923766666666,0.0019012437791007617
64,7,4,0.09671024233333333,0.0006192564424673597
64,7,16,0.20909027666666669,0.001322337442153981
64,7,32,0.286187648,0.004300500736591851
64,7,64,0.5289672336666666,0.0004850090783071155
81,8,1,0.19188707666666668,0.0036572894767312697
81,8,2,0.139917776,0.0024874771603204684
81,8,4,0.17036363166666668,0.0006891756915434043
81,8,16,0.34265269400000004,0.0011967568253003582
81,8,32,0.5378280636666667,0.0034444141444736898
81,8,64,0.6474703656666667,0.0005263839436850126
100,9,1,0.5449977530000001,0.004523605107865566
100,9,2,0.24849043866666667,0.0006832208625981236
100,9,4,0.30231590533333336,0.0029765817183348645
100,9,16,0.6088496250000001,0.007199435875681062
100,9,32,0.9848711953333333,0.010249344011138601
100,9,64,1.71820524,0.0003610045923516626
