V,D,EPR,num_endpoints,num_cores,shortest_path_throughput,shortest_path_runtime,shortest_path_success,ugal_throughput,ugal_runtime,ugal_success,nexullance_throughput,nexullance_runtime,nexullance_success,shortest_path_speedup,ugal_speedup,nexullance_speedup
13,4,2,26,26,32.15624,19.797553300857544,True,38.19392,6.20124077796936,True,,14.978244543075562,False,,1.1877607580985838,
31,6,3,93,93,92.70232,10.793029546737671,True,125.70056,18.041362762451172,True,,34.76218605041504,False,,1.3559591604611405,
57,8,4,228,228,199.44976,27.788466215133667,True,299.11352,57.53279900550842,True,,104.40103507041931,False,,1.4996935569137813,
91,10,5,455,455,344.30696,64.14461255073547,True,566.09536,162.6720998287201,True,,291.87320494651794,False,,1.6441589214461423,
133,12,6,798,798,516.90832,135.19602060317993,True,981.21896,386.1047291755676,True,,741.6608090400696,False,,1.8982456308693194,
183,14,7,1281,1281,753.17608,287.51228380203247,True,1548.66856,795.3214163780212,True,,1677.7826583385468,False,,2.05618394041404,
307,18,9,2763,2763,1329.056,1182.6417212486267,True,3263.248,2512.0402002334595,True,,7240.752334833145,False,,2.4553126429586114,
381,20,10,3810,3810,1701.04568,2260.2238047122955,True,4471.52464,4329.47575879097,True,,13394.532927036285,False,,2.6286916880444973,
553,24,12,6636,6636,2587.13856,7416.37664604187,True,7626.4168,11678.9986846447,True,,40614.11313056946,False,,2.9478192308339297,
651,26,13,8463,8463,3129.91728,12221.859090089798,True,9585.66184,18453.829429864883,True,,68337.53720974922,False,,3.062592708520399,
757,28,14,10598,10598,,18467.456483364105,False,,18929.11689710617,False,,18967.241956472397,False,,,
