V,D,EPR,num_endpoints,num_cores,shortest_path_throughput,shortest_path_runtime,shortest_path_success,ugal_throughput,ugal_runtime,ugal_success,nexullance_throughput,nexullance_runtime,nexullance_success,shortest_path_speedup,ugal_speedup,nexullance_speedup
13,4,2,26,26,41.60048,21.673198223114014,True,41.60064,6.1646411418914795,True,,15.35779857635498,False,,1.000003846109468,
31,6,3,93,93,148.80464,13.453964233398438,True,148.80448,17.13284397125244,True,,38.50888133049011,False,,0.9999989247647116,
57,8,4,228,228,364.8028,39.24857974052429,True,364.80896,49.396435499191284,True,,120.21330857276917,False,,1.0000168858353062,
91,10,5,455,455,728.01112,112.227215051651,True,728.01064,143.30370545387268,True,,358.1350944042206,False,,0.9999993406694117,
133,12,6,798,798,1276.82056,288.1171119213104,True,1276.82144,359.07771706581116,True,,942.4645502567291,False,,1.0000006892119595,
183,14,7,1281,1281,2049.63216,602.9287905693054,True,2049.6452,715.7700817584991,True,,2091.6934587955475,False,,1.0000063621171906,
307,18,9,2763,2763,4420.89456,2086.6076939105988,True,4420.87288,2403.3806211948395,True,,8327.148016929626,False,,0.9999950960151378,
381,20,10,3810,3810,6096.0992,3628.970976829529,True,6096.13552,4037.3515663146973,True,,15119.334257602692,False,,1.0000059579082965,
553,24,12,6636,6636,10617.66968,10249.486352205276,True,10617.7268,11037.970420598984,True,,43820.56407690048,False,,1.00000537971153,
651,26,13,8463,8463,13541.00288,16555.107906103134,True,13541.00096,19669.087193965912,True,,72841.05902934074,False,,0.9999998582084342,
757,28,14,10598,10598,,19051.337775230408,False,,18857.59537267685,False,,18780.818264961243,False,,,
