V,D,EPR,num_endpoints,num_cores,shortest_path_throughput,shortest_path_runtime,shortest_path_success,ugal_throughput,ugal_runtime,ugal_success,nexullance_throughput,nexullance_runtime,nexullance_success,shortest_path_speedup,ugal_speedup,nexullance_speedup
18,5,3,54,54,38.07184,8.271907567977905,True,54.58112,11.38206958770752,True,62.73632,12.950260400772095,True,,1.4336349385792753,1.647840503637334
32,6,3,96,96,53.45728,10.513814449310303,True,117.09936,20.352890253067017,True,126.81808,23.893109560012817,True,,2.1905222263459723,2.3723257150382513
50,7,4,200,200,119.976,20.191702365875244,True,227.5796,46.327964782714844,True,232.40544,59.03708076477051,True,,1.8968760418750417,1.9370994198839768
98,11,6,588,588,247.14592,56.096012115478516,True,574.81368,189.02209091186523,True,613.86048,356.1413342952728,True,,2.325806875549473,2.483797749928464
128,12,6,768,768,227.21072,77.96585035324097,True,838.09248,332.3122043609619,True,888.35928,569.0170741081238,True,,3.688613283739429,3.909847563530453
162,13,7,1134,1134,427.60224,148.094628572464,True,1190.35176,580.9212348461151,True,1206.74216,1109.457281112671,True,,2.7837827977701894,2.8221137475799942
242,17,9,2178,2178,673.80448,427.6284143924713,True,2104.28392,1361.0442123413086,True,2170.83264,3498.538072824478,True,,3.122988912154457,3.2217545362714124
338,19,10,3380,3380,973.25072,1104.4398922920227,True,3446.54432,2879.6885073184967,True,3466.37752,7588.943124055862,True,,3.5412707632006684,3.5616490681866644
512,24,12,6144,6144,1121.40888,3951.286130428314,True,6275.69464,7946.323413133621,True,5045.03872,26365.088106155396,True,,5.596259091509959,4.49883963822366
578,25,13,7514,7514,1803.08256,6137.283039569855,True,7564.92568,10924.05621600151,True,7578.7388,41136.073051691055,True,,4.19555146714968,4.203212303268021
722,29,15,10830,10830,,13908.409118890762,False,,16748.465131521225,False,,18462.211072206497,False,,,
