V,D,EPR,num_endpoints,num_cores,shortest_path_throughput,shortest_path_runtime,shortest_path_success,ugal_throughput,ugal_runtime,ugal_success,nexullance_throughput,nexullance_runtime,nexullance_success,shortest_path_speedup,ugal_speedup,nexullance_speedup
18,5,3,54,54,83.79896,25.70656418800354,True,83.56696,12.182790279388428,True,86.40064,23.96332573890686,True,,0.9972314692210977,1.0310466860209244
32,6,3,96,96,153.60144,16.362658977508545,True,153.60392,19.592443466186523,True,153.60152,35.806901931762695,True,,1.0000161456819676,1.0000005208284506
50,7,4,200,200,320.0056,35.887144327163696,True,320.0092,43.06701135635376,True,320.00592,86.8761534690857,True,,1.0000112498031284,1.0000009999825004
98,11,6,588,588,940.81368,167.15856742858887,True,940.35464,209.53722953796387,True,940.82,498.3510537147522,True,,0.9995120819246591,1.0000067175893956
128,12,6,768,768,1228.81112,262.22320008277893,True,1228.8252,326.62542057037354,True,1228.83648,788.8167929649353,True,,1.0000114582296422,1.0000206378340715
162,13,7,1134,1134,1814.4276,472.76967453956604,True,1814.44256,567.4678165912628,True,1814.42856,1384.5058381557465,True,,1.0000082450244914,1.0000005290924807
242,17,9,2178,2178,3484.85984,1236.7244403362274,True,3484.06736,1466.6253323554993,True,3484.8548,4750.043521642685,True,,0.9997725934366416,0.9999985537438429
338,19,10,3380,3380,5408.0784,2507.501136779785,True,5408.11704,2858.0057973861694,True,5408.07744,9545.818171262741,True,,1.0000071448668346,0.9999998224877804
512,24,12,6144,6144,9830.51904,7054.309232473373,True,9830.5148,7905.597168684006,True,9830.52024,29866.24327635765,True,,0.9999995686901189,1.0000001220688344
578,25,13,7514,7514,12022.48032,10088.038286447525,True,12022.55856,11188.358424663544,True,12022.48088,44802.508008003235,True,,1.0000065078085316,1.0000000465794066
722,29,15,10830,10830,17328.2808,19806.375314235687,True,17328.2908,23765.019578933716,True,,19015.648535728455,False,,1.0000005770912945,
