source,dest,port
0,1,0
0,2,1
0,3,2
0,4,3
0,5,4
0,6,5
0,7,6
0,8,7
0,72,8
0,136,9
0,200,10
1,0,0
1,2,1
1,3,2
1,4,3
1,5,4
1,6,5
1,7,6
1,16,7
1,80,8
1,144,9
1,208,10
2,0,0
2,1,1
2,3,2
2,4,3
2,5,4
2,6,5
2,7,6
2,24,7
2,88,8
2,152,9
2,216,10
3,0,0
3,1,1
3,2,2
3,4,3
3,5,4
3,6,5
3,7,6
3,32,7
3,96,8
3,160,9
3,224,10
4,0,0
4,1,1
4,2,2
4,3,3
4,5,4
4,6,5
4,7,6
4,40,7
4,104,8
4,168,9
4,232,10
5,0,0
5,1,1
5,2,2
5,3,3
5,4,4
5,6,5
5,7,6
5,48,7
5,112,8
5,176,9
5,240,10
6,0,0
6,1,1
6,2,2
6,3,3
6,4,4
6,5,5
6,7,6
6,56,7
6,120,8
6,184,9
6,248,10
7,0,0
7,1,1
7,2,2
7,3,3
7,4,4
7,5,5
7,6,6
7,64,7
7,128,8
7,192,9
7,256,10
8,0,0
8,9,1
8,10,2
8,11,3
8,12,4
8,13,5
8,14,6
8,15,7
8,73,8
8,137,9
8,201,10
9,8,0
9,10,1
9,11,2
9,12,3
9,13,4
9,14,5
9,15,6
9,17,7
9,81,8
9,145,9
9,209,10
10,8,0
10,9,1
10,11,2
10,12,3
10,13,4
10,14,5
10,15,6
10,25,7
10,89,8
10,153,9
10,217,10
11,8,0
11,9,1
11,10,2
11,12,3
11,13,4
11,14,5
11,15,6
11,33,7
11,97,8
11,161,9
11,225,10
12,8,0
12,9,1
12,10,2
12,11,3
12,13,4
12,14,5
12,15,6
12,41,7
12,105,8
12,169,9
12,233,10
13,8,0
13,9,1
13,10,2
13,11,3
13,12,4
13,14,5
13,15,6
13,49,7
13,113,8
13,177,9
13,241,10
14,8,0
14,9,1
14,10,2
14,11,3
14,12,4
14,13,5
14,15,6
14,57,7
14,121,8
14,185,9
14,249,10
15,8,0
15,9,1
15,10,2
15,11,3
15,12,4
15,13,5
15,14,6
15,65,7
15,129,8
15,193,9
15,257,10
16,1,0
16,17,1
16,18,2
16,19,3
16,20,4
16,21,5
16,22,6
16,23,7
16,74,8
16,138,9
16,202,10
17,9,0
17,16,1
17,18,2
17,19,3
17,20,4
17,21,5
17,22,6
17,23,7
17,82,8
17,146,9
17,210,10
18,16,0
18,17,1
18,19,2
18,20,3
18,21,4
18,22,5
18,23,6
18,26,7
18,90,8
18,154,9
18,218,10
19,16,0
19,17,1
19,18,2
19,20,3
19,21,4
19,22,5
19,23,6
19,34,7
19,98,8
19,162,9
19,226,10
20,16,0
20,17,1
20,18,2
20,19,3
20,21,4
20,22,5
20,23,6
20,42,7
20,106,8
20,170,9
20,234,10
21,16,0
21,17,1
21,18,2
21,19,3
21,20,4
21,22,5
21,23,6
21,50,7
21,114,8
21,178,9
21,242,10
22,16,0
22,17,1
22,18,2
22,19,3
22,20,4
22,21,5
22,23,6
22,58,7
22,122,8
22,186,9
22,250,10
23,16,0
23,17,1
23,18,2
23,19,3
23,20,4
23,21,5
23,22,6
23,66,7
23,130,8
23,194,9
23,258,10
24,2,0
24,25,1
24,26,2
24,27,3
24,28,4
24,29,5
24,30,6
24,31,7
24,75,8
24,139,9
24,203,10
25,10,0
25,24,1
25,26,2
25,27,3
25,28,4
25,29,5
25,30,6
25,31,7
25,83,8
25,147,9
25,211,10
26,18,0
26,24,1
26,25,2
26,27,3
26,28,4
26,29,5
26,30,6
26,31,7
26,91,8
26,155,9
